Id,Label,type,xcoord,ycoord,category,Modularity Class,Eigenvector Centrality,In Degree,Out Degree,Degree,Weighted Degree
346,Micah Linnemeier,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
347,Christopher Manning,person,0.0,0.0,individual,4,0.12185884149276693,0,2,2,2
348,John Nerbonne,person,0.0,0.0,individual,31,0.07196494233035411,0,2,2,2
349,Patrick Phillips,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
350,Sebastian P.Q. Rahtz,person,0.0,0.0,individual,63,0.03190660529433644,0,2,2,2
351,Chintan Tank,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
352,Martjin Wieling,person,0.0,0.0,individual,31,0.07196494233035411,0,2,2,2
353,Virtual Cities/Digital Histories,Panel,0.0,0.0,session,0,0.40087839458538654,10,0,10,10
354,"Do Birds of a Feather Really Flock Together, or How to Choose Test Samples for Authorship Attribution",Long Paper,0.0,0.0,session,1,0.041055602166989356,2,0,2,2
355,The Tutor's Story: A Case Study of Mixed Authorship,Long Paper,0.0,0.0,session,27,0.019039415297903095,1,0,1,1
356,Alma Cardell Curtin and Jeremiah Curtin: The Translator's Stylistic Fingerprint.,Long Paper,0.0,0.0,session,1,0.02241877309420518,1,0,1,1
357,Possible Worlds: Authorial markup and digital scholarship,Long Paper,0.0,0.0,session,50,0.041182251257390834,2,0,2,2
358,"Layer upon layer. Computational ""archaeology"" in 15th century Middle Dutch historiography.",Long Paper,0.0,0.0,session,2,0.008310085698683281,1,0,1,1
359,The UCLA Encyclopedia of Egyptology: lessons learned,Long Paper,0.0,0.0,session,0,0.01891561573425562,1,0,1,1
360,On the meaning of the term 'text' in digital humanities.,Long Paper,0.0,0.0,session,21,0.052383072807019065,1,0,1,1
361,Corpora for Early Modern classics: are they reusable?,Long Paper,0.0,0.0,session,64,0.011298074945774726,1,0,1,1
362,A User-Centered Digital Edition of Vuk Stefanovia's Lexicon Serbico-Germanico-Latinum,Long Paper,0.0,0.0,session,3,0.022368834398077214,2,0,2,2
363,"NETWORKS, LITERATURE, CULTURE",Panel,0.0,0.0,session,4,0.1555405318365635,4,0,4,4
364,Cinemetrics,Long Paper,0.0,0.0,session,5,0.04358437737846283,3,0,3,3
365,Digital image analysis and interactive visualization of 1000000 manga pages,Long Paper,0.0,0.0,session,6,0.036772152741435256,3,0,3,3
366,The Object of Platform Studies: Relational Materialities and the Social Platform (the case of the Nintendo Wii),Long Paper,0.0,0.0,session,7,0.022368834398077214,2,0,2,2
367,Mining language resources from institutional repositories,Long Paper,0.0,0.0,session,36,0.09353293016049381,5,0,5,5
368,Integration of Distributed Text Resources by Using Schema Matching Techniques,Long Paper,0.0,0.0,session,22,0.04981421926644474,3,0,3,3
369,Expressive power of markup languages and graph structures,Long Paper,0.0,0.0,session,8,0.03809148617309705,3,0,3,3
370,Automatic Extraction of Catalog Data from Genizah Fragments' images,Long Paper,0.0,0.0,session,9,0.08793643251819756,5,0,5,5
371,The Digital Materiality of Early Christian Visual Culture: an example from John 20:29,Long Paper,0.0,0.0,session,27,0.015234554559539638,1,0,1,1
372,PROBABILISTIC ANALYSIS OF MIDDLE ENGLISH ORTHOGRAPHY: THE AUCHINLECK MANUSCRIPT,Long Paper,0.0,0.0,session,10,0.008310085698683281,1,0,1,1
373,"Modeling Event-Based Historical Narratives: A Conversation Between Digital Humanists, Information Scientists and Computer Scientists",Panel,0.0,0.0,session,11,0.15719737539789766,6,0,6,6
374,The Born Digital Graduate: Multiple representations of and within Digital Humanities PhD theses,Long Paper,0.0,0.0,session,12,0.04358437737846283,3,0,3,3
375,Knowing and Doing: Understanding the Digital Humanities Curriculum,Long Paper,0.0,0.0,session,13,0.008310085698683281,1,0,1,1
