Source,Target,Type,Id,Label,Weight
176,429,Directed,182,,1.0
176,1536,Directed,1133,,1.0
177,397,Directed,183,,1.0
177,1447,Directed,1071,,1.0
178,398,Directed,184,,1.0
178,418,Directed,185,,1.0
178,1563,Directed,1005,,1.0
179,411,Directed,186,,1.0
179,1447,Directed,1114,,1.0
180,427,Directed,187,,1.0
180,1447,Directed,1064,,1.0
181,418,Directed,188,,1.0
181,1563,Directed,1131,,1.0
182,414,Directed,189,,1.0
182,1418,Directed,1028,,1.0
183,421,Directed,190,,1.0
183,1390,Directed,1129,,1.0
184,430,Directed,191,,1.0
184,491,Directed,393,,1.0
184,1598,Directed,960,,1.0
185,431,Directed,192,,1.0
185,1451,Directed,875,,1.0
186,396,Directed,193,,1.0
186,1446,Directed,913,,1.0
187,432,Directed,194,,1.0
187,469,Directed,315,,1.0
187,1528,Directed,1043,,1.0
188,391,Directed,195,,1.0
188,1414,Directed,802,,1.0
189,409,Directed,197,,1.0
189,425,Directed,196,,1.0
189,1546,Directed,935,,1.0
190,418,Directed,198,,1.0
190,437,Directed,221,,1.0
190,1563,Directed,838,,1.0
191,418,Directed,199,,1.0
191,1563,Directed,811,,1.0
192,390,Directed,200,,1.0
192,1597,Directed,899,,1.0
193,404,Directed,201,,1.0
193,1566,Directed,846,,1.0
194,383,Directed,202,,1.0
195,412,Directed,203,,1.0
195,1581,Directed,1086,,1.0
196,433,Directed,204,,1.0
196,1495,Directed,927,,1.0
197,433,Directed,205,,1.0
197,1495,Directed,934,,1.0
198,433,Directed,206,,1.0
198,1414,Directed,1002,,1.0
199,435,Directed,208,,1.0
199,1441,Directed,970,,1.0
200,435,Directed,209,,1.0
201,436,Directed,211,,1.0
201,1544,Directed,956,,1.0
202,437,Directed,212,,1.0
202,1579,Directed,873,,1.0
203,437,Directed,213,,1.0
203,1477,Directed,1051,,1.0
204,437,Directed,214,,1.0
204,1514,Directed,1140,,1.0
205,437,Directed,215,,1.0
205,1405,Directed,860,,1.0
206,438,Directed,216,,1.0
206,1393,Directed,884,,1.0
207,439,Directed,217,,1.0
207,1566,Directed,917,,1.0
208,437,Directed,219,,1.0
208,1438,Directed,982,,1.0
209,438,Directed,220,,1.0
210,440,Directed,222,,1.0
210,1446,Directed,1039,,1.0
211,441,Directed,224,,1.0
211,1408,Directed,1076,,1.0
212,441,Directed,226,,1.0
212,1408,Directed,1087,,1.0
213,440,Directed,228,,1.0
213,1446,Directed,1146,,1.0
214,442,Directed,229,,1.0
214,1418,Directed,791,,1.0
215,441,Directed,230,,1.0
215,1408,Directed,907,,1.0
216,441,Directed,231,,1.0
216,443,Directed,237,,1.0
216,489,Directed,387,,1.0
216,494,Directed,386,,1.0
216,1408,Directed,895,,1.0
217,441,Directed,232,,1.0
217,1408,Directed,1132,,1.0
218,443,Directed,234,,1.0
218,1408,Directed,1014,,1.0
219,443,Directed,236,,1.0
219,1408,Directed,1016,,1.0
220,443,Directed,238,,1.0
220,453,Directed,278,,1.0
220,489,Directed,388,,1.0
220,1408,Directed,1088,,1.0
221,443,Directed,239,,1.0
221,1408,Directed,845,,1.0
222,444,Directed,240,,1.0
222,1451,Directed,1069,,1.0
223,445,Directed,241,,1.0
223,1451,Directed,1001,,1.0
224,444,Directed,242,,1.0
224,1451,Directed,979,,1.0
225,446,Directed,243,,1.0
225,1536,Directed,799,,1.0
226,447,Directed,244,,1.0
226,1519,Directed,1034,,1.0
227,448,Directed,245,,1.0
227,1599,Directed,1145,,1.0
228,447,Directed,246,,1.0
228,1578,Directed,1084,,1.0
229,447,Directed,247,,1.0
229,1442,Directed,1035,,1.0
230,449,Directed,248,,1.0
230,1503,Directed,1096,,1.0
231,447,Directed,249,,1.0
231,1508,Directed,1097,,1.0
232,447,Directed,250,,1.0
